anzahl;vorname;geschlecht;position
54;Marie;w;2
36;Adam;m;1
35;Sophie;w;2
31;Leon;m;1
30;Maria;w;2
28;Noah;m;1
27;Alexander;m;2
27;David;m;1
27;Elias;m;1
25;Clara;w;1
24;Emilia;w;1
24;Maximilian;m;1
23;Charlotte;w;1
23;Ali;m;1
23;Jonathan;m;1
21;Anna;w;1
21;Emil;m;1
20;Ali;m;2
20;Ella;w;1
20;Lina;w;1
20;Mira;w;1
20;Leo;m;1
19;Luise;w;2
19;Sara;w;1
19;Alexander;m;1
19;Theo;m;1
19;Theodor;m;1
18;Emily;w;1
18;Hannah;w;1
18;Mia;w;1
18;Anton;m;1
17;Lara;w;1
17;Maria;w;1
17;Ahmad;m;1
16;Charlotte;w;2
16;Emma;w;1
16;Ida;w;1
15;Johanna;w;2
15;Felix;m;1
15;Lena;w;1
15;Jakob;m;1
15;Marie;w;1
15;Milan;m;1
15;Mila;w;1
15;Muhammad;m;1
15;Sophia;w;1
14;Maximilian;m;2
14;Emilia;w;2
14;Ben;m;1
14;Ava;w;1
14;Jonas;m;1
14;Julia;w;1
14;Lukas;m;1
14;Oskar;m;1
14;Paul;m;1
13;Paul;m;2
13;Fatima;w;1
13;Hanna;w;1
13;Lea;w;1
13;Henri;m;1
13;Sophie;w;1
13;Ibrahim;m;1
13;Mohammad;m;1
12;Amalia;w;1
12;Frida;w;1
12;Arthur;m;1
12;Maya;w;1
12;Daniel;m;1
12;Sofia;w;1
12;Gabriel;m;1
12;Jan;m;1
12;Liam;m;1
12;Louis;m;1
12;Luis;m;1
12;Mohamed;m;1
12;Yusuf;m;1
11;Anton;m;2
11;Elisa;w;1
11;Liya;w;1
11;Olivia;w;1
11;Carl;m;1
11;Emir;m;1
11;Henry;m;1
11;Julius;m;1
11;Leonard;m;1
11;Luca;m;1
11;Malik;m;1
11;Matteo;m;1
11;Moritz;m;1
11;Muhammed;m;1
10;Emil;m;2
10;Felix;m;2
10;Anna;w;2
10;Elisabeth;w;2
10;Luisa;w;2
10;Frieda;w;1
10;Helena;w;1
10;Leni;w;1
10;Mariam;w;1
10;Mathilda;w;1
10;Nora;w;1
10;Hamza;m;1
10;Karl;m;1
10;Kevin;m;1
10;Levi;m;1
10;Mohammed;m;1
9;Peter;m;2
9;Carlotta;w;1
9;Greta;w;1
9;Leonie;w;1
9;Lia;w;1
9;Luna;w;1
9;Maja;w;1
9;Mina;w;1
9;Sarah;w;1
9;Victoria;w;1
9;Adrian;m;1
9;Amir;m;1
9;Caspar;m;1
9;Leonardo;m;1
9;Mateo;m;1
9;Omar;m;1
9;Samuel;m;1
8;Elias;m;2
8;Leonard;m;2
8;Levi;m;2
8;Anh;w;2
8;Maxim;m;2
8;Helena;w;2
8;Magdalena;w;2
8;Amira;w;1
8;Isabella;w;1
8;Josephine;w;1
8;Lilly;w;1
8;Luisa;w;1
8;Marlene;w;1
8;Paula;w;1
8;Romy;w;1
8;Bruno;m;1
8;Ilyas;m;1
8;Johnny;m;1
8;Julian;m;1
8;Miran;m;1
8;Mustafa;m;1
8;Vincent;m;1
7;Friedrich;m;2
7;Henry;m;2
7;Alexandra;w;2
7;Jakob;m;2
7;Elena;w;2
7;Johann;m;2
7;Rose;w;2
7;Johannes;m;2
7;Noel;m;2
7;Valentin;m;2
7;Alice;w;1
7;Alina;w;1
7;Alma;w;1
7;Aurelia;w;1
7;Carla;w;1
7;Elena;w;1
7;Elif;w;1
7;Elin;w;1
7;Johanna;w;1
7;Karla;w;1
7;Friedrich;m;1
7;Laura;w;1
7;Fritz;m;1
7;Matilda;w;1
7;Jonah;m;1
7;Medina;w;1
7;Joshua;m;1
7;Meryem;w;1
7;Konstantin;m;1
7;Zeynep;w;1
7;Linus;m;1
7;Lucas;m;1
7;Martin;m;1
7;Max;m;1
7;Michael;m;1
7;Mohamad;m;1
7;Nils;m;1
7;Oscar;m;1
7;Rayan;m;1
7;Valentin;m;1
7;Yasin;m;1
7;Youssef;m;1
7;Ömer;m;1
6;Friedrich;m;3
6;Amalia;w;2
6;Helene;w;2
6;Josephine;w;2
6;Fritz;m;2
6;Nur;w;2
6;Jonathan;m;2
6;Rosa;w;2
6;Karl;m;2
6;Sofia;w;2
6;Otto;m;2
6;Sophia;w;2
6;Samuel;m;2
6;Antonia;w;1
6;Asya;w;1
6;Azra;w;1
6;Ela;w;1
6;Elisabeth;w;1
6;Eva;w;1
6;Fatma;w;1
6;Jana;w;1
6;Layan;w;1
6;Luise;w;1
6;Malia;w;1
6;Melek;w;1
6;Merle;w;1
6;Adem;m;1
6;Alex;m;1
6;Antonio;m;1
6;Benjamin;m;1
6;Constantin;m;1
6;Dennis;m;1
6;Erik;m;1
6;Finn;m;1
6;Gustav;m;1
6;Kilian;m;1
6;Maxim;m;1
6;Mehmet;m;1
6;Oliver;m;1
6;Simon;m;1
6;Tony;m;1
6;Yiğit;m;1
5;Anh;w;3
5;Maria;w;3
5;Marie;w;3
5;Frieda;w;2
5;Anh;m;2
5;Lina;w;2
5;Ben;m;2
5;Lucia;w;2
5;Benjamin;m;2
5;Pauline;w;2
5;Carl;m;2
5;Theresa;w;2
5;David;m;2
5;Victoria;w;2
5;Finn;m;2
5;Frederik;m;2
5;Gabriel;m;2
5;Jean;m;2
5;Jonas;m;2
5;Leon;m;2
5;Luca;m;2
5;Malik;m;2
5;Martin;m;2
5;Theodor;m;2
5;Amelia;w;1
5;Anastasia;w;1
5;Angela;w;1
5;Fiona;w;1
5;Juna;w;1
5;Lisa;w;1
5;Lotta;w;1
5;Lucia;w;1
5;Melissa;w;1
5;Milena;w;1
5;Nour;w;1
5;Pauline;w;1
5;Ruby;w;1
5;Sena;w;1
5;Stella;w;1
5;Tilda;w;1
5;Aaron;m;1
5;Viktoria;w;1
5;Alessio;m;1
5;Anthony;m;1
5;Aras;m;1
5;Azad;m;1
5;Berat;m;1
5;Bilal;m;1
5;Deniz;m;1
5;Emilio;m;1
5;Fiete;m;1
5;Frederik;m;1
5;Hussein;m;1
5;Issa;m;1
5;Kaan;m;1
5;Lasse;m;1
5;Lean;m;1
5;Luka;m;1
5;Mahmoud;m;1
5;Mats;m;1
5;Mika;m;1
5;Niklas;m;1
5;Philipp;m;1
5;Richard;m;1
5;Sebastian;m;1
5;Thomas;m;1
4;Klaus;m;3
4;Mohammed;m;3
4;Angelika;w;3
4;Charlotte;w;3
4;Elisabeth;w;3
4;Rose;w;3
4;Amelie;w;2
4;An;w;2
4;Ava;w;2
4;Bella;w;2
4;Carlotta;w;2
4;Eleni;w;2
4;Elif;w;2
4;Hedi;w;2
4;Luna;w;2
4;Mara;w;2
4;Albert;m;2
4;Ruth;w;2
4;Andrei;m;2
4;Sofie;w;2
4;Benedikt;m;2
4;Su;w;2
4;Can;m;2
4;Christian;m;2
4;Ibrahim;m;2
4;James;m;2
4;Joel;m;2
4;Joshua;m;2
4;Julius;m;2
4;Konstantin;m;2
4;Levin;m;2
4;Liam;m;2
4;Luis;m;2
4;Michael;m;2
4;Minh;m;2
4;Noah;m;2
4;Vincent;m;2
4;Ömer;m;2
4;Ada;w;1
4;Aisha;w;1
4;Amelie;w;1
4;Amina;w;1
4;Aurora;w;1
4;Defne;w;1
4;Diana;w;1
4;Elina;w;1
4;Eylül;w;1
4;Flora;w;1
4;Hana;w;1
4;Hazal;w;1
4;Iman;w;1
4;Jasmin;w;1
4;Klara;w;1
4;Layla;w;1
4;Leandra;w;1
4;Linnea;w;1
4;Lotte;w;1
4;Malak;w;1
4;Martha;w;1
4;Melisa;w;1
4;Minh;w;1
4;Mona;w;1
4;Abdullah;m;1
4;Nilay;w;1
4;Alvin;m;1
4;Nina;w;1
4;Amon;m;1
4;Noa;w;1
4;Ayaz;m;1
4;Paulina;w;1
4;Can;m;1
4;Ronja;w;1
4;Carlo;m;1
4;Rosa;w;1
4;Christian;m;1
4;Rüya;w;1
4;Dominik;m;1
4;Selma;w;1
4;Edgar;m;1
4;Tala;w;1
4;Edward;m;1
4;Talya;w;1
4;Emanuel;m;1
4;Tara;w;1
4;Emilian;m;1
4;Tasnim;w;1
4;Emre;m;1
4;Tessa;w;1
4;Enno;m;1
4;Thea;w;1
4;Eymen;m;1
4;Tuana;w;1
4;Filip;m;1
4;Valentina;w;1
4;Harun;m;1
4;Ilay;m;1
4;Jayden;m;1
4;Jonte;m;1
4;Juri;m;1
4;Karim;m;1
4;Matheo;m;1
4;Milo;m;1
4;Miraç;m;1
4;Nathan;m;1
4;Noel;m;1
4;Ole;m;1
4;Otto;m;1
4;Pablo;m;1
4;Robin;m;1
4;Selim;m;1
4;Taim;m;1
4;Tim;m;1
4;Tom;m;1
4;Tommy;m;1
4;Toni;m;1
4;Yassin;m;1
4;Younes;m;1
4;Yousef;m;1
3;Christian;m;3
3;Paul;m;3
3;Christa;w;3
3;Emilia;w;3
3;Wilhelmine;w;3
3;Adele;w;2
3;Amina;w;2
3;Antonia;w;2
3;Caroline;w;2
3;Christina;w;2
3;Fatima;w;2
3;Fatma;w;2
3;Freya;w;2
3;Jasmin;w;2
3;Katharina;w;2
3;Katrin;w;2
3;Lila;w;2
3;Lilly;w;2
3;Lisa;w;2
3;Louisa;w;2
3;Malou;w;2
3;Aaron;m;2
3;Margarethe;w;2
3;Ahmed;m;2
3;Marianne;w;2
3;Amir;m;2
3;Mathilde;w;2
