anzahl;vorname;geschlecht;position
66;Marie;w;2
58;Sophie;w;2
47;Maria;w;2
43;Charlotte;w;1
38;Alexander;m;2
38;Emma;w;1
35;Noah;m;1
34;Felix;m;1
31;Jakob;m;1
30;Charlotte;w;2
30;Emilia;w;1
30;Emil;m;1
29;Lina;w;1
29;Leon;m;1
29;Mila;w;1
27;Elias;m;1
27;Jonas;m;1
27;Leo;m;1
26;Clara;w;1
26;Mira;w;1
26;Theodor;m;1
25;Luise;w;2
25;Ella;w;1
25;Lea;w;1
25;Liam;m;1
25;Sophia;w;1
25;Maximilian;m;1
25;Paul;m;1
24;Lara;w;1
23;Elias;m;2
23;Maximilian;m;2
23;Mia;w;1
23;Sophie;w;1
22;Adam;m;1
22;Jonathan;m;1
22;Leonie;w;1
22;Oskar;m;1
21;Paul;m;2
21;Hannah;w;1
21;Ali;m;1
21;Maria;w;1
21;Jonah;m;1
21;Lukas;m;1
20;Ali;m;2
20;Emilia;w;2
20;Lena;w;1
20;Anton;m;1
20;Louis;m;1
19;Elisabeth;w;2
19;Ida;w;1
19;Olivia;w;1
19;Vincent;m;1
18;Karl;m;2
18;Noah;m;2
18;Anna;w;1
18;Marlene;w;1
18;Leonard;m;1
18;Milan;m;1
18;Samuel;m;1
17;Sophia;w;2
17;Johanna;w;1
17;Nora;w;1
17;Sara;w;1
17;Benjamin;m;1
17;Theo;m;1
16;Johanna;w;2
16;Marie;w;1
16;Paula;w;1
16;Finn;m;1
16;Johann;m;1
16;Levi;m;1
16;Malik;m;1
16;Max;m;1
16;Mika;m;1
16;Niklas;m;1
15;Benjamin;m;2
15;Ava;w;1
15;Laura;w;1
15;Alexander;m;1
15;Julian;m;1
15;Karl;m;1
15;Luca;m;1
15;Luka;m;1
15;Tim;m;1
14;David;m;2
14;Hanna;w;1
14;Lia;w;1
14;Mina;w;1
14;Tilda;w;1
14;Carl;m;1
14;Henri;m;1
14;Luis;m;1
14;Milo;m;1
14;Moritz;m;1
13;Levi;m;2
13;Valentin;m;2
13;Klara;w;1
13;Leni;w;1
13;Luisa;w;1
13;Mathilda;w;1
13;Ben;m;1
13;Muhammed;m;1
13;Yusuf;m;1
12;Amelie;w;1
12;Azra;w;1
12;Emily;w;1
12;Lotte;w;1
12;Maya;w;1
12;Bruno;m;1
12;David;m;1
12;Hamza;m;1
12;Henry;m;1
12;Hussein;m;1
12;Joshua;m;1
12;Linus;m;1
11;Louise;w;2
11;Emil;m;2
11;Johannes;m;2
11;Leon;m;2
11;Amelia;w;1
11;Helena;w;1
11;Rosa;w;1
11;Jan;m;1
11;Jannis;m;1
11;Julius;m;1
11;Matteo;m;1
11;Nils;m;1
10;Anna;w;2
10;Antonia;w;2
10;Nur;w;2
10;Gabriel;m;2
10;Jakob;m;2
10;Theodor;m;2
10;Alma;w;1
10;Elisa;w;1
10;Eva;w;1
10;Greta;w;1
10;Luna;w;1
10;Matilda;w;1
10;Medina;w;1
10;Nina;w;1
10;Arthur;m;1
10;Ilyas;m;1
10;Jasper;m;1
10;Mohammad;m;1
9;Marie;w;3
9;Carlotta;w;2
9;Arthur;m;2
9;Friedrich;m;2
9;Johann;m;2
9;Alva;w;1
9;Elena;w;1
9;Frieda;w;1
9;Julia;w;1
9;Mariam;w;1
9;Melina;w;1
9;Merle;w;1
9;Sofia;w;1
9;Elijah;m;1
9;Jona;m;1
9;Justus;m;1
9;Konstantin;m;1
9;Lian;m;1
9;Mattis;m;1
8;Katharina;w;2
8;Malou;w;2
8;Rosa;w;2
8;Su;w;2
8;Valentina;w;2
8;August;m;2
8;Luca;m;2
8;Ole;m;2
8;Otto;m;2
8;Samuel;m;2
8;Carlotta;w;1
8;Elif;w;1
8;Elina;w;1
8;Isabella;w;1
8;Liya;w;1
8;Mara;w;1
8;Nele;w;1
8;Nisa;w;1
8;Paulina;w;1
8;Adrian;m;1
8;Amir;m;1
8;Emir;m;1
8;Gustav;m;1
8;Marlon;m;1
8;Mateo;m;1
8;Matheo;m;1
8;Mikail;m;1
8;Raphael;m;1
8;Tom;m;1
7;Alice;w;2
7;Elise;w;2
7;Luisa;w;2
7;Olivia;w;2
7;Pauline;w;2
7;Sofia;w;2
7;Can;m;2
7;Daniel;m;2
7;Jonathan;m;2
7;Leonard;m;2
7;Louis;m;2
7;Max;m;2
7;Michael;m;2
7;Oskar;m;2
7;Amalia;w;1
7;Amira;w;1
7;Anastasia;w;1
7;Cleo;w;1
7;Ela;w;1
7;Eleni;w;1
7;Elisabeth;w;1
7;Fatima;w;1
7;Juna;w;1
7;Lilly;w;1
7;Daniel;m;1
7;Liv;w;1
7;Edgar;m;1
7;Luise;w;1
7;Emilian;m;1
7;Maja;w;1
7;Emilio;m;1
7;Pauline;w;1
7;Erik;m;1
7;Ronja;w;1
7;Gabriel;m;1
7;Rosalie;w;1
7;Hassan;m;1
7;Sarah;w;1
7;Hugo;m;1
7;Zoe;w;1
7;Lion;m;1
7;Mats;m;1
7;Miran;m;1
7;Robin;m;1
7;Valentin;m;1
6;Maria;w;3
6;Aurora;w;2
6;Ida;w;2
6;Lotte;w;2
6;Matilda;w;2
6;Adam;m;2
6;Alp;m;2
6;Anton;m;2
6;Finn;m;2
6;Julius;m;2
6;Luis;m;2
6;Martin;m;2
6;Milan;m;2
6;Niklas;m;2
6;Oliver;m;2
6;Raphael;m;2
6;Sebastian;m;2
6;Alice;w;1
6;Alina;w;1
6;Antonia;w;1
6;Carla;w;1
6;Daria;w;1
6;Aaron;m;1
6;Fiona;w;1
6;Ahmad;m;1
6;Frida;w;1
6;Bela;m;1
6;Jasmin;w;1
6;Can;m;1
6;Josephine;w;1
6;Carlo;m;1
6;Lana;w;1
6;Elyas;m;1
6;Leen;w;1
6;Eymen;m;1
6;Lotta;w;1
6;Fabian;m;1
6;Malina;w;1
6;Franz;m;1
6;Pia;w;1
6;Fynn;m;1
6;Romy;w;1
6;Kaan;m;1
6;Konrad;m;1
6;Leopold;m;1
6;Lio;m;1
6;Mahir;m;1
6;Maxim;m;1
6;Muhammad;m;1
6;Oliver;m;1
6;Philipp;m;1
6;Rafael;m;1
6;Richard;m;1
6;Ruben;m;1
6;Sami;m;1
6;Simon;m;1
6;Youssef;m;1
5;Paul;m;3
5;Charlotte;w;3
5;Elisabeth;w;3
5;Sophie;w;3
5;Elisa;w;2
5;Emma;w;2
5;June;w;2
5;Lia;w;2
5;Luna;w;2
5;Paula;w;2
5;Rose;w;2
5;Sara;w;2
5;Victoria;w;2
5;Aslan;m;2
5;Ben;m;2
5;Felix;m;2
5;Florian;m;2
5;Gustav;m;2
5;Henry;m;2
5;Jan;m;2
5;Jonas;m;2
5;Justus;m;2
5;Konrad;m;2
5;Leander;m;2
5;Lukas;m;2
5;Matteo;m;2
5;Patrick;m;2
5;Richard;m;2
5;Alexandra;w;1
5;Alya;w;1
5;Ayla;w;1
5;Flora;w;1
5;Karla;w;1
5;Laila;w;1
5;Layla;w;1
5;Linda;w;1
5;Louisa;w;1
5;Martha;w;1
5;Milena;w;1
5;Minna;w;1
5;Miriam;w;1
5;Nika;w;1
5;Noemi;w;1
5;Antonio;m;1
5;Smilla;w;1
5;Aras;m;1
5;Zahraa;w;1
5;Arian;m;1
5;Zeynep;w;1
5;August;m;1
5;Ayaz;m;1
5;Constantin;m;1
5;Frederik;m;1
5;Friedrich;m;1
5;Fritz;m;1
5;Hannes;m;1
5;Jacob;m;1
5;Jamal;m;1
5;Joris;m;1
5;Juri;m;1
5;Kadir;m;1
5;Kian;m;1
5;Kilian;m;1
5;Lasse;m;1
5;Lino;m;1
5;Mahmoud;m;1
5;Matti;m;1
5;Mert;m;1
5;Mohamed;m;1
5;Musa;m;1
5;Mustafa;m;1
5;Nicolas;m;1
5;Nino;m;1
5;Omar;m;1
5;Toni;m;1
5;Wim;m;1
5;Yasin;m;1
5;Yiğit;m;1
5;Younes;m;1
4;Michael;m;3
4;Katharina;w;3
4;Alexandra;w;2
4;Aurelia;w;2
4;Elena;w;2
4;Eleni;w;2
4;Ella;w;2
4;Henriette;w;2
4;Josefine;w;2
4;Lea;w;2
4;Leni;w;2
4;Lina;w;2
4;Lou;w;2
4;Malina;w;2
4;Margarete;w;2
4;Mathilda;w;2
4;Mia;w;2
4;Mila;w;2
4;Mina;w;2
4;Mira;w;2
4;Adrian;m;2
4;Andreas;m;2
4;Benedikt;m;2
4;Carl;m;2
4;Casper;m;2
4;Christian;m;2
4;Emilian;m;2
4;Erich;m;2
4;Erik;m;2
4;Fabian;m;2
4;Frederik;m;2
4;Fynn;m;2
4;Georg;m;2
4;James;m;2
4;Joel;m;2
4;Josef;m;2
4;Joseph;m;2
4;Kaan;m;2
4;Kasimir;m;2
4;Klaus;m;2
4;Konstantin;m;2
4;Leopold;m;2
4;Liam;m;2
4;Lion;m;2
4;Ludwig;m;2
4;Noel;m;2
4;Thomas;m;2
4;Tobias;m;2
4;Aleyna;w;1
4;Amina;w;1
4;Amy;w;1
4;Bianca;w;1
4;Elea;w;1
4;Elin;w;1
4;Esma;w;1
4;Finja;w;1
4;Gabriela;w;1
4;Hafsa;w;1
4;Hedi;w;1
4;Helen;w;1
4;Helene;w;1
4;Isabel;w;1
4;Jonna;w;1
4;Josefine;w;1
4;Karlotta;w;1
4;Lene;w;1
4;Leyla;w;1
4;Lisa;w;1
4;Liyah;w;1
4;Liyana;w;1
4;Lore;w;1
4;Lucie;w;1
4;Maia;w;1
4;Malea;w;1
4;Malia;w;1
4;Malou;w;1
4;Marla;w;1
4;Melia;w;1
4;Adem;m;1
4;Meryem;w;1
4;Alessio;m;1
4;Mika;w;1
4;Arvid;m;1
4;Milla;w;1
4;Bilal;m;1
4;Mona;w;1
4;Caspar;m;1
4;Natalia;w;1
4;Damian;m;1
4;Nia;w;1
4;Deniz;m;1
4;Stella;w;1
4;Elian;m;1
4;Tamina;w;1
4;Enes;m;1
4;Tara;w;1
4;Ethan;m;1
4;Thalia;w;1
4;Fiete;m;1
4;Thea;w;1
4;Florian;m;1
4;Wanda;w;1
4;Hendrik;m;1
4;Yade;w;1
4;Henrik;m;1
4;Yuna;w;1
4;Ian;m;1
4;Ibrahim;m;1
4;Isa;m;1
4;Jack;m;1
4;Janosch;m;1
4;Joel;m;1
4;John;m;1
4;Levin;m;1
4;Lionel;m;1
4;Lucas;m;1
4;Miguel;m;1
4;Mio;m;1
4;Mohammed;m;1
4;Nico;m;1
4;Noam;m;1
4;Nuri;m;1
4;Ole;m;1
4;Oscar;m;1
4;Robert;m;1
4;Roman;m;1
4;Taylan;m;1
4;Tristan;m;1
4;Wilhelm;m;1
4;Willem;m;1
4;Ömer;m;1
3;August;m;3
3;Christian;m;3
3;Luca;m;3
3;Peter;m;3
3;Theodor;m;3
3;Rose;w;3
3;Willi;m;3
3;Alma;w;2
3;Amar;w;2
3;Amelie;w;2
3;Amélie;w;2
3;Anne;w;2
3;Carla;w;2
3;Cataleya;w;2
3;Clara;w;2
3;Eva;w;2
3;Felicitas;w;2
3;Feline;w;2
3;Flora;w;2
3;Florentine;w;2
3;Frieda;w;2
3;Helena;w;2
3;Helene;w;2
3;Irma;w;2
3;Isabella;w;2
3;Josephine;w;2
3;Joy;w;2
3;Julie;w;2
3;Leonie;w;2
3;Lilia;w;2
3;Lisa;w;2
3;Liyah;w;2
3;Lotta;w;2
3;Luana;w;2
3;Lucia;w;2
3;Lynn;w;2
3;Malin;w;2
3;Marianne;w;2
3;Marina;w;2
3;Aaron;m;2
3;Marleen;w;2
3;Albert;m;2
3;Marta;w;2
3;Amin;m;2
3;Martha;w;2
3;Anthony;m;2
3;Mathea;w;2
3;Artur;m;2
3;Maya;w;2
3;Aurelius;m;2
3;Michelle;w;2
3;Bela;m;2
3;Monika;w;2
3;Caspar;m;2
3;Nicole;w;2
3;Charlie;m;2
3;Noa;w;2
3;Constantin;m;2
3;Paulina;w;2
3;Edward;m;2
3;Ruth;w;2
3;Efe;m;2
3;Salome;w;2
3;Emanuel;m;2
3;Emilio;m;2
3;Ferdinand;m;2
3;Franz;m;2
3;Fritz;m;2
3;Heinrich;m;2
3;Ilias;m;2
3;Ismail;m;2
3;Jo;m;2
3;Joachim;m;2
3;Johan;m;2
3;Joshua;m;2
3;Lutz;m;2
3;Magnus;m;2
3;Malik;m;2
3;Manuel;m;2
3;Maria;m;2
3;Markus;m;2
3;Mateo;m;2
3;Maurice;m;2
3;Mehmet;m;2
3;Michel;m;2
3;Musa;m;2
3;Nael;m;2
3;Peter;m;2
3;Robert;m;2
3;Siegfried;m;2
3;Stephan;m;2
3;Theo;m;2
3;Titus;m;2
3;Toni;m;2
3;Victor;m;2
3;Vincent;m;2
3;Ömer;m;2
3;Aaliyah;w;1
3;Ada;w;1
3;Alba;w;1
3;Alin;w;1
3;Amal;w;1
3;Amar;w;1
3;Anni;w;1
3;Arya;w;1
3;Asel;w;1
3;Aurelia;w;1
3;Barbara;w;1
3;Cataleya;w;1
3;Catalina;w;1
3;Chiara;w;1
3;Dalia;w;1
3;Delal;w;1
3;Diana;w;1
3;Dila;w;1
3;Dunya;w;1
3;Ekaterina;w;1
3;Eliana;w;1
3;Eliza;w;1
3;Elli;w;1
3;Ellie;w;1
3;Emely;w;1
3;Abbas;m;1
3;Emilie;w;1
3;Ahmed;m;1
3;Emmi;w;1
3;Albert;m;1
3;Enna;w;1
3;Alexis;m;1
3;Esila;w;1
3;Alfred;m;1
3;Ewa;w;1
3;Amar;m;1
3;Felia;w;1
3;Amos;m;1
3;Filippa;w;1
3;Anthony;m;1
3;Fritzi;w;1
3;Antoni;m;1
3;Hala;w;1
3;Armin;m;1
3;Isabelle;w;1
3;Aron;m;1
3;Jana;w;1
3;Artur;m;1
3;Jara;w;1
3;Ayan;m;1
3;Juli;w;1
3;Benno;m;1
3;Julie;w;1
3;Burak;m;1
3;Juno;w;1
3;Charlie;m;1
3;Kaya;w;1
3;Colin;m;1
3;Layal;w;1
3;Damir;m;1
3;Leah;w;1
3;Dante;m;1
3;Leia;w;1
3;Dario;m;1
3;Leonore;w;1
3;Darius;m;1
3;Liana;w;1
3;Elio;m;1
3;Lieselotte;w;1
3;Ensar;m;1
3;Liliana;w;1
3;Eric;m;1
3;Linnea;w;1
3;Filip;m;1
3;Livia;w;1
3;Fred;m;1
3;Louise;w;1
3;Frederick;m;1
3;Lucia;w;1
3;Ilay;m;1
