anzahl;vorname;geschlecht;position
19;Sophie;w;2
15;Marie;w;2
12;Emma;w;1
10;Emil;m;1
10;Luis;m;1
9;Charlotte;w;2
8;Charlotte;w;1
8;Jonas;m;1
8;Julius;m;1
8;Leon;m;1
8;Leonard;m;1
7;Ella;w;1
7;Emilia;w;1
7;Johanna;w;1
7;Mia;w;1
7;Benjamin;m;1
7;Sophia;w;1
7;Jonathan;m;1
7;Noah;m;1
7;Paul;m;1
6;Friedrich;m;2
6;Emma;w;2
6;Anna;w;1
6;Lea;w;1
6;Sophie;w;1
6;Anton;m;1
6;Felix;m;1
6;Louis;m;1
5;Emilia;w;2
5;Maria;w;2
5;Helena;w;1
5;Klara;w;1
5;Laura;w;1
5;Ben;m;1
5;Mathilda;w;1
5;Gabriel;m;1
5;Mila;w;1
5;Jakob;m;1
5;Mina;w;1
5;Milan;m;1
5;Nele;w;1
4;David;m;2
4;Emil;m;2
4;Elisabeth;w;2
4;Luise;w;2
4;Marlene;w;2
4;Sophia;w;2
4;Finn;m;1
4;Clara;w;1
4;Julian;m;1
4;Elena;w;1
4;Leo;m;1
4;Emily;w;1
4;Linus;m;1
4;Hanna;w;1
4;Luka;m;1
4;Lena;w;1
4;Maximilian;m;1
4;Leni;w;1
4;Oskar;m;1
4;Luna;w;1
4;Raphael;m;1
4;Marie;w;1
4;Tim;m;1
4;Pauline;w;1
4;Stella;w;1
3;Alexander;m;3
3;Otto;m;3
3;Peter;m;3
3;Adrian;m;2
3;Alexander;m;2
3;Anton;m;2
3;August;m;2
3;Caspar;m;2
3;Fritz;m;2
3;Johannes;m;2
3;Jonas;m;2
3;Ida;w;2
3;Louis;m;2
3;Lou;w;2
3;Manuel;m;2
3;Lucia;w;2
3;Maximilian;m;2
3;Victoria;w;2
3;Milan;m;2
3;Nicolas;m;2
3;Noah;m;2
3;Noel;m;2
3;Paul;m;2
3;Theodor;m;2
3;Adam;m;1
3;Adrian;m;1
3;Alva;w;1
3;Arthur;m;1
3;Amy;w;1
3;Bruno;m;1
3;Esther;w;1
3;Daniel;m;1
3;Hannah;w;1
3;David;m;1
3;Isabelle;w;1
3;Elias;m;1
3;Juna;w;1
3;Elyas;m;1
3;Lara;w;1
3;Erik;m;1
3;Leonie;w;1
3;Henri;m;1
3;Lia;w;1
3;Jannis;m;1
3;Liya;w;1
3;Johann;m;1
3;Lotta;w;1
